transacao_id,cliente_id,tipo,valor,data
T000256,C0133,deposito,3559.89,2026-08-06
T000257,C0196,deposito,1432.46,2026-02-11
T000258,C0132,pix,-2252.1,2026-02-07
T000259,C0057,cdb_aplicacao,-467.65,2026-07-29
T000260,C0008,cdb_aplicacao,-4424.3,2026-04-17
T000261,C0096,deposito,1988.31,2026-03-02
T000262,C0096,cdb_aplicacao,-4972.68,2026-02-27
T000263,C0026,deposito,1600.24,2026-08-03
T000264,C0036,pix,-3958.99,2026-01-10
T000265,C0121,pix,-4587.81,2026-06-28
T000266,C0121,saque,-3796.62,2026-04-25
T000267,C0008,compra_cartao,-36.2,2026-01-05
T000268,C0039,pix,-1086.12,2026-05-21
T000269,C0029,compra_cartao,-2643.58,2026-07-18
T000270,C0032,pix,-1195.82,2026-01-13
T000271,C0160,saque,-2104.93,2026-04-28
T000272,C0128,deposito,563.18,2026-06-02
T000273,C0132,compra_cartao,-92.01,2026-05-28
T000274,C0075,saque,-3595.54,2026-04-20
T000275,C0062,deposito,3077.9,2026-05-27
T000276,C0172,cdb_aplicacao,-944.7,2026-01-22
T000277,C0018,compra_cartao,-4873.53,2026-05-15
T000278,C0130,compra_cartao,-2541.57,2026-05-22
T000279,C0121,deposito,1958.36,2026-01-12
T000280,C0065,cdb_aplicacao,-4905.39,2026-07-11
T000281,C0018,deposito,1791.9,2026-03-30
T000282,C0161,saque,-3667.38,2026-01-27
T000283,C0086,compra_cartao,-3678.58,2026-02-04
T000284,C0087,deposito,1767.97,2026-07-28
T000285,C0176,saque,-4153.61,2026-04-29
T000286,C0035,cdb_aplicacao,-3162.36,2026-01-17
T000287,C0052,cdb_aplicacao,-194.55,2026-01-12
T000288,C0081,saque,-4430.09,2026-08-27
T000289,C0140,pix,-2581.76,2026-05-02
T000290,C0166,pix,-192.74,2026-02-18
T000291,C0200,pix,-1791.3,2026-01-13
T000292,C0095,pix,-1373.35,2026-04-22
T000293,C0099,cdb_aplicacao,-3719.11,2026-03-28
T000294,C0128,saque,-2486.05,2026-04-05
T000295,C0008,compra_cartao,-1340.94,2026-07-06
T000296,C0155,cdb_aplicacao,-403.85,2026-07-30
T000297,C0083,saque,-2731.92,2026-01-27
T000298,C0076,deposito,1646.32,2026-03-20
T000299,C0110,cdb_aplicacao,-3017.08,2026-02-12
T000300,C0011,cdb_aplicacao,-1764.22,2026-07-06
T000301,C0112,pix,-3078.11,2026-03-12
T000302,C0164,deposito,384.46,2026-04-14
T000303,C0192,pix,-2570.3,2026-06-23
T000304,C0037,saque,-4764.42,2026-08-06
T000305,C0113,compra_cartao,-3393.66,2026-01-09
T000306,C0200,saque,-345.49,2026-06-15
T000307,C0146,pix,-1817.13,2026-01-09
T000308,C0116,compra_cartao,-775.66,2026-04-05
T000309,C0020,pix,-2225.26,2026-05-27
T000310,C0102,saque,-2652.0,2026-03-22
T000311,C0030,pix,-1255.56,2026-01-07
T000312,C0100,saque,-2500.23,2026-08-22
T000313,C0199,compra_cartao,-597.63,2026-03-08
T000314,C0157,cdb_aplicacao,-1080.71,2026-03-15
T000315,C0035,cdb_aplicacao,-1008.89,2026-08-07
T000316,C0183,deposito,2265.69,2026-04-24
T000317,C0082,deposito,4054.46,2026-06-20
T000318,C0141,pix,-3550.61,2026-05-19
T000319,C0008,pix,-4457.75,2026-07-02
T000320,C0131,saque,-3970.54,2026-02-27
T000321,C0036,deposito,4925.81,2026-03-02
T000322,C0142,cdb_aplicacao,-141.16,2026-05-27
T000323,C0142,pix,-2342.36,2026-02-03
T000324,C0017,compra_cartao,-4422.39,2026-03-21
T000325,C0185,cdb_aplicacao,-4997.98,2026-05-03
T000326,C0105,compra_cartao,-2059.87,2026-07-30
T000327,C0082,compra_cartao,-378.02,2026-06-14
T000328,C0175,deposito,2255.37,2026-05-13
T000329,C0200,pix,-650.39,2026-05-22
T000330,C0034,compra_cartao,-918.0,2026-04-21
T000331,C0015,compra_cartao,-4554.45,2026-08-01
T000332,C0078,deposito,2595.33,2026-02-12
T000333,C0182,saque,-1620.08,2026-02-27
T000334,C0133,pix,-4737.94,2026-08-18
T000335,C0065,pix,-4231.21,2026-02-20
T000336,C0161,compra_cartao,-1379.51,2026-03-19
T000337,C0129,compra_cartao,-2672.06,2026-06-14
T000338,C0149,saque,-2963.12,2026-02-09
T000339,C0185,saque,-3297.08,2026-08-19
T000340,C0145,compra_cartao,-1694.72,2026-01-11
T000341,C0165,deposito,415.3,2026-07-17
T000342,C0054,compra_cartao,-1330.63,2026-07-16
T000343,C0164,compra_cartao,-2088.77,2026-01-08
T000344,C0140,cdb_aplicacao,-4446.09,2026-03-16
T000345,C0176,pix,-2419.89,2026-04-14
T000346,C0177,pix,-2273.19,2026-01-16
T000347,C0124,saque,-2203.63,2026-04-29
T000348,C0037,saque,-1707.56,2026-03-22
T000349,C0089,pix,-3673.66,2026-04-13
T000350,C0132,saque,-3805.72,2026-05-24
T000351,C0120,deposito,1602.39,2026-02-01
T000352,C0037,pix,-2253.48,2026-01-25
T000353,C0099,deposito,1458.16,2026-08-10
T000354,C0008,compra_cartao,-2096.49,2026-07-28
T000355,C0185,pix,-4669.42,2026-03-22
T000356,C0128,saque,-3817.98,2026-05-12
T000357,C0079,cdb_aplicacao,-2498.81,2026-05-08
T000358,C0101,deposito,459.34,2026-05-10
T000359,C0056,cdb_aplicacao,-4833.77,2026-05-30
T000360,C0073,pix,-252.8,2026-05-07
T000361,C0168,compra_cartao,-4412.87,2026-06-22
T000362,C0003,cdb_aplicacao,-1435.88,2026-08-05
T000363,C0068,deposito,2160.33,2026-07-06
T000364,C0094,pix,-3821.65,2026-01-12
T000365,C0144,cdb_aplicacao,-265.28,2026-02-19
T000366,C0019,pix,-2770.58,2026-04-09
T000367,C0141,compra_cartao,-2257.27,2026-03-13
T000368,C0031,compra_cartao,-3405.19,2026-02-02
T000369,C0087,deposito,1975.58,2026-05-23
T000370,C0051,pix,-3777.28,2026-06-04
T000371,C0011,compra_cartao,-2012.92,2026-01-12
T000372,C0086,deposito,693.81,2026-07-25
T000373,C0039,cdb_aplicacao,-2601.47,2026-06-05
T000374,C0157,compra_cartao,-707.51,2026-03-23
T000375,C0158,saque,-1970.84,2026-07-09
T000376,C0130,pix,-2972.69,2026-08-01
T000377,C0182,compra_cartao,-2666.38,2026-05-25
T000378,C0005,pix,-2379.71,2026-04-05
T000379,C0107,pix,-3372.29,2026-05-30
T000380,C0186,pix,-3985.81,2026-08-12
T000381,C0068,deposito,2988.58,2026-06-17
T000382,C0185,compra_cartao,-2892.4,2026-01-14
T000383,C0135,compra_cartao,-2407.44,2026-06-11
T000384,C0098,compra_cartao,-3875.28,2026-02-07
T000385,C0180,saque,-167.54,2026-01-29
T000386,C0081,saque,-104.5,2026-04-18
T000387,C0053,saque,-2070.67,2026-04-16
T000388,C0121,compra_cartao,-3877.11,2026-08-12
T000389,C0133,deposito,3531.82,2026-02-23
T000390,C0170,compra_cartao,-1632.0,2026-05-03
T000391,C0045,compra_cartao,-1890.36,2026-04-28
T000392,C0091,compra_cartao,-1718.21,2026-06-23
T000393,C0050,pix,-3054.28,2026-03-05
T000394,C0058,pix,-2794.85,2026-03-18
T000395,C0177,pix,-3527.46,2026-06-30
T000396,C0090,cdb_aplicacao,-1592.03,2026-05-24
T000397,C0147,pix,-1446.07,2026-06-23
T000398,C0102,compra_cartao,-1904.67,2026-07-29
T000399,C0038,pix,-4773.5,2026-03-16
T000400,C0183,deposito,1445.28,2026-01-21
T000401,C0168,pix,-4620.81,2026-03-07
T000402,C0138,cdb_aplicacao,-1077.79,2026-03-11
T000403,C0036,compra_cartao,-3483.89,2026-01-28
T000404,C0062,compra_cartao,-3707.05,2026-03-04
T000405,C0136,deposito,3352.47,2026-02-27
T000406,C0106,saque,-271.93,2026-03-26
T000407,C0198,cdb_aplicacao,-511.72,2026-02-05
T000408,C0008,deposito,4822.95,2026-04-15
T000409,C0052,cdb_aplicacao,-2392.47,2026-07-13
T000410,C0166,pix,-1612.63,2026-01-16
T000411,C0060,deposito,3264.97,2026-05-17
T000412,C0045,deposito,4567.02,2026-04-17
T000413,C0010,saque,-4670.27,2026-08-03
T000414,C0048,cdb_aplicacao,-3941.92,2026-08-28
T000415,C0003,pix,-4384.95,2026-03-18
T000416,C0086,compra_cartao,-3017.89,2026-03-14
T000417,C0140,cdb_aplicacao,-4945.61,2026-05-15
T000418,C0035,cdb_aplicacao,-4447.41,2026-08-06
T000419,C0050,compra_cartao,-2345.42,2026-07-27
T000420,C0188,deposito,1660.11,2026-04-28
T000421,C0004,pix,-3595.8,2026-07-08
T000422,C0146,pix,-3955.93,2026-06-22
T000423,C0164,saque,-885.72,2026-08-18
T000424,C0132,cdb_aplicacao,-4136.68,2026-03-25
T000425,C0025,deposito,2010.16,2026-02-17
T000426,C0064,saque,-2392.5,2026-01-02
T000427,C0115,pix,-1924.04,2026-07-12
T000428,C0078,pix,-4770.63,2026-05-30
T000429,C0168,compra_cartao,-67.06,2026-04-03
T000430,C0031,saque,-320.0,2026-04-30
T000431,C0176,pix,-806.99,2026-05-09
T000432,C0164,pix,-3454.55,2026-08-23
T000433,C0057,pix,-1844.04,2026-02-26
T000434,C0117,saque,-2396.13,2026-07-11
T000435,C0180,compra_cartao,-1874.39,2026-05-21
T000436,C0171,cdb_aplicacao,-3789.18,2026-07-31
T000437,C0175,saque,-3811.68,2026-07-13
T000438,C0008,compra_cartao,-4366.94,2026-05-15
T000439,C0093,cdb_aplicacao,-2645.58,2026-01-20
T000440,C0141,compra_cartao,-569.92,2026-08-20
T000441,C0138,compra_cartao,-1018.76,2026-02-08
T000442,C0134,saque,-1647.31,2026-04-24
T000443,C0184,deposito,3404.67,2026-05-30
T000444,C0131,cdb_aplicacao,-463.8,2026-04-25
T000445,C0132,deposito,2272.63,2026-04-17
T000446,C0144,cdb_aplicacao,-2823.92,2026-04-29
T000447,C0102,pix,-3619.17,2026-03-07
T000448,C0149,deposito,3731.56,2026-01-19
T000449,C0180,deposito,2124.25,2026-01-17
T000450,C0018,compra_cartao,-4970.68,2026-08-28
T000451,C0105,cdb_aplicacao,-168.36,2026-02-16
T000452,C0187,saque,-3831.48,2026-06-15
T000453,C0098,cdb_aplicacao,-1878.56,2026-04-25
T000454,C0175,cdb_aplicacao,-1884.47,2026-06-19
T000455,C0090,compra_cartao,-673.62,2026-01-31
T000456,C0101,saque,-4964.31,2026-05-16
T000457,C0058,saque,-3642.01,2026-08-02
T000458,C0077,deposito,3783.34,2026-04-29
T000459,C0098,compra_cartao,-2126.4,2026-07-30
T000460,C0089,saque,-1245.09,2026-02-09
T000461,C0186,pix,-950.52,2026-07-15
T000462,C0170,deposito,170.76,2026-04-18
T000463,C0005,compra_cartao,-3832.61,2026-03-03
T000464,C0153,saque,-345.78,2026-01-09
T000465,C0181,cdb_aplicacao,-2992.95,2026-08-12
T000466,C0012,deposito,1231.22,2026-04-13
T000467,C0056,cdb_aplicacao,-1179.35,2026-07-13
T000468,C0075,deposito,709.28,2026-03-01
T000469,C0154,compra_cartao,-1601.33,2026-07-17
T000470,C0037,pix,-1192.15,2026-06-19
T000471,C0077,compra_cartao,-1113.0,2026-03-12
T000472,C0152,deposito,2788.02,2026-08-14
T000473,C0110,saque,-3133.71,2026-05-23
T000474,C0089,cdb_aplicacao,-243.95,2026-06-14
T000475,C0082,cdb_aplicacao,-3931.16,2026-06-28
T000476,C0077,cdb_aplicacao,-2047.21,2026-04-07
T000477,C0122,saque,-3774.54,2026-03-03
T000478,C0182,saque,-1510.67,2026-02-06
T000479,C0144,cdb_aplicacao,-4574.56,2026-04-16
T000480,C0035,cdb_aplicacao,-2790.86,2026-04-10
T000481,C0085,saque,-1282.43,2026-06-15
T000482,C0095,deposito,4611.91,2026-01-24
T000483,C0049,compra_cartao,-3625.68,2026-01-14
T000484,C0155,pix,-1892.07,2026-06-04
T000485,C0049,deposito,4369.37,2026-07-25
T000486,C0144,compra_cartao,-3624.28,2026-02-25
T000487,C0086,cdb_aplicacao,-1052.36,2026-03-19
T000488,C0049,deposito,1066.92,2026-07-09
T000489,C0194,deposito,3736.93,2026-05-03
T000490,C0181,saque,-3481.18,2026-02-22
T000491,C0142,cdb_aplicacao,-4576.48,2026-03-24
T000492,C0137,pix,-1909.5,2026-06-16
T000493,C0093,pix,-1549.03,2026-05-12
T000494,C0185,cdb_aplicacao,-2335.36,2026-05-01
T000495,C0095,pix,-4572.51,2026-03-22
T000496,C0057,cdb_aplicacao,-238.12,2026-07-09
T000497,C0142,saque,-90.94,2026-08-28
T000498,C0107,compra_cartao,-2899.92,2026-03-17
T000499,C0059,saque,-989.0,2026-04-08
T000500,C0128,compra_cartao,-4168.48,2026-05-21
T000501,C0126,pix,-1294.06,2026-07-05
T000502,C0188,cdb_aplicacao,-2309.54,2026-07-23
T000503,C0185,pix,-854.64,2026-05-20
T000504,C0139,cdb_aplicacao,-928.4,2026-06-14
T000505,C0020,deposito,2624.48,2026-07-29
T000506,C0106,deposito,3824.05,2026-02-05
T000507,C0039,saque,-349.16,2026-01-03
T000508,C0096,saque,-2533.61,2026-01-16
T000509,C0158,compra_cartao,-3192.27,2026-08-22
T000510,C0005,cdb_aplicacao,-3299.83,2026-01-02
T000511,C0004,compra_cartao,-2762.7,2026-01-05
T000512,C0138,compra_cartao,-3613.74,2026-03-15
T000513,C0179,deposito,2516.06,2026-06-22
T000514,C0046,cdb_aplicacao,-4032.78,2026-01-28
T000515,C0062,deposito,2626.68,2026-02-19
T000516,C0091,compra_cartao,-2637.02,2026-03-10
T000517,C0104,cdb_aplicacao,-404.31,2026-04-28
T000518,C0179,compra_cartao,-1223.61,2026-02-27
T000519,C0008,pix,-3423.37,2026-06-17
T000520,C0098,deposito,476.57,2026-04-07
T000521,C0164,compra_cartao,-2385.27,2026-01-03
T000522,C0112,saque,-422.6,2026-06-15
T000523,C0025,pix,-2833.62,2026-08-18
T000524,C0059,compra_cartao,-4596.57,2026-02-24
T000525,C0012,compra_cartao,-2382.75,2026-08-25
T000526,C0072,deposito,3425.3,2026-08-19
T000527,C0009,compra_cartao,-2821.91,2026-02-15
T000528,C0054,pix,-88.13,2026-05-31
T000529,C0183,saque,-3763.75,2026-07-30
T000530,C0077,cdb_aplicacao,-4645.09,2026-02-11
T000531,C0100,compra_cartao,-1209.96,2026-06-23
T000532,C0194,compra_cartao,-1665.33,2026-07-09
T000533,C0177,saque,-3954.59,2026-07-05
T000534,C0089,deposito,2508.96,2026-01-14
